FST info: dumpfile ReLU_tb.vcd opened for output.
+-------------------------------------------------------------------------------+
|  TIME  |                IN                ||                OUT               |
+-------------------------------------------------------------------------------+
+-------------------------------------------------------------------------------+
|                               Test Case n* 1                                  |
+-------------------------------------------------------------------------------+
| 001450 | 01100100111000110010111011001001 || 01100100111000110010111011001001 |
| 001460 | 00000001000111111001011000000010 || 00000001000111111001011000000010 |
| 001470 | 00010110010110111110010100101100 || 00010110010110111110010100101100 |
| 001480 | 01110110111001011011010011101101 || 01110110111001011011010011101101 |
| 001490 | 00010011011111100110111100100110 || 00010011011111100110111100100110 |
| 001500 | 01110110010110000101101111101100 || 01110110010110000101101111101100 |
| 001510 | 00011011010100100001001100110110 || 00011011010100100001001100110110 |
| 001520 | 00011101101000101111000100111011 || 00011101101000101111000100111011 |
| 001530 | 01110010100111011010010011100101 || 01110010100111011010010011100101 |
| 001540 | 01101101100010111001011011011011 || 01101101100010111001011011011011 |
| 001550 | 01100101010010011011100011001010 || 01100101010010011011100011001010 |
| 001560 | 00010001100000111000110100100011 || 00010001100000111000110100100011 |
| 001570 | 01000001001110100100110110000010 || 01000001001110100100110110000010 |
| 001580 | 01111101111010010011000011111011 || 01111101111010010011000011111011 |
| 001590 | 01011010010011000000001110110100 || 01011010010011000000001110110100 |
| 001600 | 00101101001101110101110101011010 || 00101101001101110101110101011010 |
| 001610 | 01100010000000001100011011000100 || 01100010000000001100011011000100 |
| 001620 | 01001010001111100110110010010100 || 01001010001111100110110010010100 |
| 001630 | 00001011010010000000001000010110 || 00001011010010000000001000010110 |
| 001640 | 00110001111000101001100001100011 || 00110001111000101001100001100011 |
| 001650 | 00001011101011100100111000010111 || 00001011101011100100111000010111 |
| 001660 | 00000010001110111111001000000100 || 00000010001110111111001000000100 |
| 001670 | 01000111001000001010001010001110 || 01000111001000001010001010001110 |
| 001680 | 00111111010100111101001101111110 || 00111111010100111101001101111110 |
| 001690 | 01001010010011110000001110010100 || 01001010010011110000001110010100 |
| 001700 | 00000111000110111100100000001110 || 00000111000110111100100000001110 |
| 001710 | 01100001100110101011001111000011 || 01100001100110101011001111000011 |
| 001720 | 00110110100110100000010001101101 || 00110110100110100000010001101101 |
| 001730 | 00001111010110111110001100011110 || 00001111010110111110001100011110 |
| 001740 | 01011001101001110101001110110011 || 01011001101001110101001110110011 |
| 001750 | 00011100001010101110001000111000 || 00011100001010101110001000111000 |
| 001760 | 00011100111110101000001000111001 || 00011100111110101000001000111001 |
| 001770 | 01101110101110001100110011011101 || 01101110101110001100110011011101 |
| 001780 | 01010111100111010101100110101111 || 01010111100111010101100110101111 |
| 001790 | 01111110101000111011110011111101 || 01111110101000111011110011111101 |
| 001800 | 01110101010001110000001011101010 || 01110101010001110000001011101010 |
| 001810 | 00000110100100100111101100001101 || 00000110100100100111101100001101 |
| 001820 | 00101110011110000000000001011100 || 00101110011110000000000001011100 |
| 001830 | 01001101110000111011000010011011 || 01001101110000111011000010011011 |
| 001840 | 01100101100100111001101111001011 || 01100101100100111001101111001011 |
| 001850 | 01110000000111001001000011100000 || 01110000000111001001000011100000 |
| 001860 | 01001001100100101100111110010011 || 01001001100100101100111110010011 |
| 001870 | 00101101101000110000110101011011 || 00101101101000110000110101011011 |
| 001880 | 01011111010011001100000110111110 || 01011111010011001100000110111110 |
| 001890 | 01110111001011111000011111101110 || 01110111001011111000011111101110 |
| 001900 | 01100001101100001010101111000011 || 01100001101100001010101111000011 |
| 001910 | 01011110000000011111111110111100 || 01011110000000011111111110111100 |
| 001920 | 01011111101011010100110110111111 || 01011111101011010100110110111111 |
| 001930 | 00110110110001101100000001101101 || 00110110110001101100000001101101 |
| 001940 | 00110011111000011101101101100111 || 00110011111000011101101101100111 |
| 001950 | 01011110011101101001010110111100 || 01011110011101101001010110111100 |
| 001960 | 00111110100101000111001001111101 || 00111110100101000111001001111101 |
| 001970 | 00011000010111100111011100110000 || 00011000010111100111011100110000 |
| 001980 | 01000101110010100000010010001011 || 01000101110010100000010010001011 |
| 001990 | 00101000011110101011110001010000 || 00101000011110101011110001010000 |
| 002000 | 01100001101110111100100011000011 || 01100001101110111100100011000011 |
| 002010 | 00010100001100011100101100101000 || 00010100001100011100101100101000 |
| 002020 | 01111101010001100010110011111010 || 01111101010001100010110011111010 |
| 002030 | 00001101010110100100010000011010 || 00001101010110100100010000011010 |
| 002040 | 00001010010011010100010100010100 || 00001010010011010100010100010100 |
| 002050 | 01110000010110001011101011100000 || 01110000010110001011101011100000 |
| 002060 | 00110001011100101011101001100010 || 00110001011100101011101001100010 |
| 002070 | 00100110000000001101101001001100 || 00100110000000001101101001001100 |
| 002080 | 01010010110110010011110110100101 || 01010010110110010011110110100101 |
| 002090 | 00011100110001100010000100111001 || 00011100110001100010000100111001 |
| 002100 | 00111011000100010111001101110110 || 00111011000100010111001101110110 |
| 002110 | 00100010101010000000101101000101 || 00100010101010000000101101000101 |
| 002120 | 01010011101011000110100010100111 || 01010011101011000110100010100111 |
| 002130 | 00101010001001011100000001010100 || 00101010001001011100000001010100 |
| 002140 | 01101010010011110111111011010100 || 01101010010011110111111011010100 |
| 002150 | 00101000011001010100011001010000 || 00101000011001010100011001010000 |
| 002160 | 01000011100001011101110010000111 || 01000011100001011101110010000111 |
| 002170 | 00111001100110100011001101110011 || 00111001100110100011001101110011 |
| 002180 | 00100111111010110110000001001111 || 00100111111010110110000001001111 |
| 002190 | 01001010100101111101101010010101 || 01001010100101111101101010010101 |
| 002200 | 01001010101011010000111010010101 || 01001010101011010000111010010101 |
| 002210 | 00100011010110101111101001000110 || 00100011010110101111101001000110 |
| 002220 | 01100111101110101111111111001111 || 01100111101110101111111111001111 |
| 002230 | 00001110001101101111001100011100 || 00001110001101101111001100011100 |
| 002240 | 00011110011001111101010000111100 || 00011110011001111101010000111100 |
| 002250 | 01110010001100100111000111100100 || 01110010001100100111000111100100 |
| 002260 | 01110010100100011010001011100101 || 01110010100100011010001011100101 |
| 002270 | 01000100111111111010000010001001 || 01000100111111111010000010001001 |
| 002280 | 01011010110100000110010010110101 || 01011010110100000110010010110101 |
| 002290 | 00110001110110111101011101100011 || 00110001110110111101011101100011 |
| 002300 | 01101101100001011110111011011011 || 01101101100001011110111011011011 |
| 002310 | 01101110100000101100111011011101 || 01101110100000101100111011011101 |
| 002320 | 01110001000010110101010111100010 || 01110001000010110101010111100010 |
| 002330 | 01101110010000010100101011011100 || 01101110010000010100101011011100 |
| 002340 | 01100100100101111110100111001001 || 01100100100101111110100111001001 |
| 002350 | 00101101000100110100110101011010 || 00101101000100110100110101011010 |
| 002360 | 01011111110111011001110110111111 || 01011111110111011001110110111111 |
| 002370 | 00100001100110011100100001000011 || 00100001100110011100100001000011 |
